,PMIDS,Title,Authors,Sources
0,32850602,COVID-19: A Multidisciplinary Review.,"Chams N, Chams S, Badran R, Shams A, Araji A, Raad M, Mukhopadhyay S, Stroberg E, Duval EJ, Barton LM, Hajj Hussein I.",Front Public Health. 2020 Jul 29;8:383. doi: 10.3389/fpubh.2020.00383. eCollection 2020.
1,33442016,Immune determinants of COVID-19 disease presentation and severity.,Brodin P.,Nat Med. 2021 Jan;27(1):28-33. doi: 10.1038/s41591-020-01202-8. Epub 2021 Jan 13.
2,33010669,"The novel coronavirus Disease-2019 (COVID-19): Mechanism of action, detection and recent therapeutic strategies.","Seyed Hosseini E, Riahi Kashani N, Nikzad H, Azadbakht J, Hassani Bafrani H, Haddad Kashani H.",Virology. 2020 Dec;551:1-9. doi: 10.1016/j.virol.2020.08.011. Epub 2020 Sep 24.
3,33053381,Treatment for COVID-19: An overview.,"Stasi C, Fallani S, Voller F, Silvestri C.",Eur J Pharmacol. 2020 Dec 15;889:173644. doi: 10.1016/j.ejphar.2020.173644. Epub 2020 Oct 11.
4,32921216,"COVID-19 and cardiac injury: clinical manifestations, biomarkers, mechanisms, diagnosis, treatment, and follow up.","Tajbakhsh A, Gheibi Hayat SM, Taghizadeh H, Akbari A, Inabadi M, Savardashtaki A, Johnston TP, Sahebkar A.",Expert Rev Anti Infect Ther. 2021 Mar;19(3):345-357. doi: 10.1080/14787210.2020.1822737. Epub 2020 Sep 28.
5,33236131,Approaches towards fighting the COVID-19 pandemic (Review).,"Tsai SC, Lu CC, Bau DT, Chiu YJ, Yen YT, Hsu YM, Fu CW, Kuo SC, Lo YS, Chiu HY, Juan YN, Tsai FJ, Yang JS.",Int J Mol Med. 2021 Jan;47(1):3-22. doi: 10.3892/ijmm.2020.4794. Epub 2020 Nov 20.
6,33038433,"COVID-19: Discovery, diagnostics and drug development.","Asselah T, Durantel D, Pasmant E, Lau G, Schinazi RF.",J Hepatol. 2021 Jan;74(1):168-184. doi: 10.1016/j.jhep.2020.09.031. Epub 2020 Oct 8.
7,33187528,Rapid SARS-CoV-2 antigen detection assay in comparison with real-time RT-PCR assay for laboratory diagnosis of COVID-19 in Thailand.,"Chaimayo C, Kaewnaphan B, Tanlieng N, Athipanyasilp N, Sirijatuphat R, Chayakulkeeree M, Angkasekwinai N, Sutthent R, Puangpunngam N, Tharmviboonsri T, Pongraweewan O, Chuthapisith S, Sirivatanauksorn Y, Kantakamalakul W, Horthongkham N.",Virol J. 2020 Nov 13;17(1):177. doi: 10.1186/s12985-020-01452-5.
8,32679589,Supplementation with vitamin D in the COVID-19 pandemic?,Hadizadeh F.,Nutr Rev. 2021 Jan 9;79(2):200-208. doi: 10.1093/nutrit/nuaa081.
9,33157278,"Cholesterol, lipoproteins, and COVID-19: Basic concepts and clinical applications.","Kočar E, Režen T, Rozman D.",Biochim Biophys Acta Mol Cell Biol Lipids. 2021 Feb;1866(2):158849. doi: 10.1016/j.bbalip.2020.158849. Epub 2020 Nov 4.
