,Title,Sources,Abstructs
0,IEEE Transactions on Knowledge and Data Engineering | IEEE Xplore,ieeexplore.ieee.org,"IEEE Transactions on Knowledge and Data Engineering. IEEE Transactions on Knowledge and Data Engineering (TKDE) informs researchers, develo."
1,IEEE Transactions on Knowledge and Data Engineering | IEEE ...,www.computer.org,"This paper first formulates a treatment sequence as temporal sets, then provides a novel Extended Jaccard Similarity (EJS) measure to quantify the similarities ..."
2,(DSLW 2021) 2021 IEEE Data Science & Learning Workshop | IEEE ...,signalprocessingsociety.org,"IEEE websites place cookies on your computer to give you the best user experience. By using our websites, you agree to the placement of these cookies."
3,An Overview of IEEE 1451.4 Transducer Electronic Data Sheets ...,standards.ieee.org,"File Format: PDF/Adobe Acrobat
Introduction. IEEE 1451.4 is a new standard for adding plug and play capabilities to analog transducers. The underlying mechanism for plug and play ..."
4,Skyfire: Data-Driven Seed Generation for Fuzzing,www.ieee-security.org,"File Format: PDF/Adobe Acrobat
In this paper, we propose a novel data-driven seed generation ... programs that process compact and unstructured data formats. (e.g., images and videos)."
5,Big Data Analytics in the Smart Grid,smartgrid.ieee.org,"File Format: PDF/Adobe Acrobat
IEEE Smart Grid Community brings together IEEE's broad array of technical societies. 3 and organizations through collaboration to encourage the successful ..."
6,Big Data Computing - IEEE SMC,ieeesmc.org,"The Nominations Committee of the IEEE Systems, Man, and Cybernetics Society (SMCS) is seeking nominations for the Society's 2021 Board of Governors (BoG) ..."
7,2019 PLAYBACK - IEEE MCE,ieeemce.org,"Learn about the essential requirements and steps event organizers need to know to meet the General Data Protection Regulation (GDPR), which went into effect ..."
8,code ocean and data port image – IEEE Access,ieeeaccess.ieee.org,"IEEE websites place cookies on your device to give you the best user experience. By using our websites, you agree to the placement of these cookies. To learn ..."
9,Big Data Computing - IEEE SMC,www.ieeesmc.org,"Big data, its high-quality processing and analysis (especially nontraditional), is vitally important for today's society. The aim of this technical committee is ..."
10,,,
